task_number,n,confidence_threshold,total_accuracy,total_precision,total_recall,total_f1-score,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,6,0.65,0.0826857764477791,0.3091786865184972,0.0826857764477791,0.0858157991482273,0.4538672262050475,408.2,41.2,18.6,22.6,0.8230088495575222
1,6,0.7000000000000001,0.0790429202343228,0.2606261966148869,0.0790429202343228,0.083391420384139,0.5526434144520616,408.2,35.0,18.6,16.4,1.1341463414634148
1,6,0.75,0.0723105052739451,0.2705450467300658,0.0723105052739451,0.0754564298930813,0.4829346092503987,408.2,36.0,17.2,18.8,0.9148936170212765
1,6,0.8,0.0795188196949186,0.2712590436866274,0.0795188196949186,0.0851909053414343,0.4901301625911687,408.2,37.4,18.0,19.4,0.9278350515463918
1,6,0.8500000000000001,0.0762341878067525,0.2728775076160392,0.0762341878067525,0.0893978765938099,0.4648652470057133,408.2,39.2,18.2,21.000000000000004,0.8666666666666665
1,6,0.9,0.0830979699096493,0.2535959723196743,0.0830979699096493,0.0815437413527235,0.4660827544548475,408.2,40.0,18.6,21.4,0.869158878504673
1,6,0.95,0.0889657502349194,0.2667228560095241,0.0889657502349194,0.0868247928360011,0.4507480506822611,408.2,40.2,18.0,22.200000000000003,0.8108108108108107
1,7,0.0,0.0668872508884509,0.1333361381721973,0.0668872508884509,0.0530210061952463,0.0668872508884509,411.4,411.4,28.0,383.4,0.07303077725612937
1,7,0.05,0.0576156984069783,0.1643480241062025,0.0576156984069783,0.0533081031388022,0.4909374466632531,411.4,30.6,14.8,15.8,0.9367088607594937
1,7,0.1,0.0623846095386609,0.1414389249173859,0.0623846095386609,0.0516701681258823,0.4889655172413792,411.4,29.2,14.0,15.2,0.9210526315789475
1,7,0.15,0.053302976326875,0.0987644581037763,0.053302976326875,0.042111734757033,0.4259424497071555,411.4,28.4,11.8,16.599999999999998,0.7108433734939761
1,7,0.2,0.065587349126976,0.1622204549782762,0.065587349126976,0.0537524997643222,0.4974045731145122,411.4,29.2,14.2,15.0,0.9466666666666667
1,7,0.25,0.0635576665675333,0.1526175466334649,0.0635576665675333,0.0552128781102791,0.5099486161986161,411.4,28.0,14.2,13.8,1.0289855072463767
