task_number,n_components,confidence_threshold,total_accuracy,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,28,-100000.0,0.17798701529814615,0.17798701529814615,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-10000.0,0.18010701735622944,0.18010701735622944,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-1000.0,0.18490290927771294,0.18490290927771294,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-100.0,0.1806822142594336,0.1806822142594336,2269.4,2269.4,435.2,1834.2,0.2372696543452186
1,28,-15.0,0.18914459693644667,0.18914459693644667,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-10.0,0.17656035536760664,0.17656035536760664,2269.4,2269.4,435.0,1834.4,0.23713475795900565
1,28,-6.0,0.18369179303380284,0.18317779050675395,2269.4,2202.4,422.2,1780.2,0.23716436355465675
1,28,0.0,0.18152075517529176,0.0,2269.4,0.0,0.0,0.0,
3,5,-inf,0.17125576045928875,0.17125576045928875,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-1000000.0,0.1666991176302229,0.1666991176302229,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-100000.0,0.1608190847526384,0.1608190847526384,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-10000.0,0.16399136922921834,0.16399136922921834,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-1000.0,0.1800518905184076,0.1800518905184076,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-100.0,0.15198297321345433,0.15198297321345433,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-15.0,0.16111719440658462,0.16111719440658462,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-10.0,0.16532924733005974,0.16532924733005974,645.8,645.8,112.0,533.8,0.20981641064068943
3,5,-6.0,0.17251792642976044,0.17049195767160588,645.8,615.8,104.8,510.99999999999994,0.20508806262230922
3,5,0.0,0.1803571905696156,0.0,645.8,0.0,0.0,0.0,
3,7,-inf,0.17180920871006705,0.17180920871006705,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-1000000.0,0.1768198762344866,0.1768198762344866,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-100000.0,0.17866194276595193,0.17866194276595193,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-10000.0,0.1648882268091697,0.1648882268091697,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-1000.0,0.1697495025752785,0.1697495025752785,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-100.0,0.1712413457692918,0.1712413457692918,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-15.0,0.16158228870682428,0.16158228870682428,645.8,645.8,112.0,533.8,0.20981641064068943
3,7,-10.0,0.1760544123816326,0.17611543223782364,645.8,645.4,112.0,533.4,0.2099737532808399
3,7,-6.0,0.17502690013488112,0.17444123031085207,645.8,625.6,107.6,518.0,0.20772200772200772
3,7,0.0,0.17443052342138046,0.0,645.8,0.0,0.0,0.0,
