task_number,n_components,confidence_threshold,total_accuracy,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,7,-7.75,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-7.5,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-7.25,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-7.0,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-6.75,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-6.5,0.1076918286684635,0.1483147931376179,391.2,140.8,23.2,117.60000000000001,0.19727891156462582
1,7,-6.25,0.1076918286684635,0.1552309052789946,391.2,138.0,23.0,115.0,0.2
1,7,-6.0,0.1076918286684635,0.1593874658011507,391.2,132.4,23.0,109.4,0.2102376599634369
1,7,-5.75,0.1076918286684635,0.1593874658011507,391.2,132.4,23.0,109.4,0.2102376599634369
1,7,-5.5,0.1076918286684635,0.1657568655424733,391.2,124.8,22.6,102.19999999999999,0.22113502935420748
1,7,-5.25,0.1076918286684635,0.1687536341488723,391.2,114.0,20.2,93.8,0.21535181236673773
1,7,-5.0,0.1076918286684635,0.17965588978797,391.2,104.0,19.2,84.8,0.22641509433962265
1,7,-4.75,0.1076918286684635,0.17965588978797,391.2,97.8,18.2,79.6,0.22864321608040203
1,7,-4.5,0.1076918286684635,0.1974336675657478,391.2,94.2,17.8,76.4,0.23298429319371727
1,7,-4.25,0.1076918286684635,0.1987339637443218,391.2,90.6,17.8,72.8,0.24450549450549453
1,7,-4.0,0.1076918286684635,0.2143215565796211,391.2,85.8,17.8,68.0,0.26176470588235295
1,7,-3.75,0.1076918286684635,0.2197231201901399,391.2,78.2,17.8,60.400000000000006,0.2947019867549669
1,7,-3.5,0.1076918286684635,0.2503282823024624,391.2,60.6,15.8,44.8,0.35267857142857145
1,7,-3.25,0.1076918286684635,0.2657426024955436,391.2,49.0,14.8,34.2,0.4327485380116959
1,7,-3.0,0.1076918286684635,0.2657426024955436,391.2,49.0,14.8,34.2,0.4327485380116959
1,7,-2.75,0.1076918286684635,0.3152941176470588,391.2,30.6,10.4,20.200000000000003,0.5148514851485148
1,7,-2.5,0.1076918286684635,0.3152941176470588,391.2,30.6,10.4,20.200000000000003,0.5148514851485148
1,7,-2.25,0.1076918286684635,0.2799999999999999,391.2,27.2,9.8,17.4,0.5632183908045978
1,8,-10.0,0.0596432010543986,0.1421801807403722,391.2,106.0,13.4,92.6,0.14470842332613393
1,8,-9.75,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-9.5,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-9.25,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-9.0,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-8.75,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-8.5,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-8.25,0.0698875925147271,0.105394585782911,391.2,129.4,16.8,112.60000000000001,0.1492007104795737
1,8,-8.0,0.0698875925147271,0.1079342683225935,391.2,121.4,16.0,105.4,0.15180265654648956
1,8,-7.75,0.0698875925147271,0.1079342683225935,391.2,121.4,16.0,105.4,0.15180265654648956
1,8,-7.5,0.0698875925147271,0.1111455498663837,391.2,116.0,15.8,100.2,0.15768463073852296
1,8,-7.25,0.0698875925147271,0.1087400748697717,391.2,109.8,14.4,95.39999999999999,0.15094339622641512
1,8,-7.0,0.0698875925147271,0.1094303912647861,391.2,108.0,14.4,93.6,0.15384615384615385
1,8,-6.75,0.0698875925147271,0.1047074829931972,391.2,106.0,13.4,92.6,0.14470842332613393
1,8,-6.5,0.0698875925147271,0.1057789115646258,391.2,103.6,13.4,90.19999999999999,0.1485587583148559
1,8,-6.25,0.0698875925147271,0.1040897223754366,391.2,100.2,13.0,87.2,0.14908256880733944
1,8,-6.0,0.0698875925147271,0.1045167545021559,391.2,98.2,12.8,85.4,0.14988290398126464
1,8,-5.75,0.0698875925147271,0.1045167545021559,391.2,98.2,12.8,85.4,0.14988290398126464
1,8,-5.5,0.0698875925147271,0.1118902484780595,391.2,94.8,12.8,82.0,0.15609756097560976
1,8,-5.25,0.0698875925147271,0.1093403072324661,391.2,84.0,11.0,73.0,0.1506849315068493
1,8,-5.0,0.0698875925147271,0.1067937233815345,391.2,79.6,10.2,69.39999999999999,0.14697406340057637
1,8,-4.75,0.0698875925147271,0.1334673105883574,391.2,63.2,9.6,53.6,0.1791044776119403
1,8,-4.5,0.0698875925147271,0.1314818384333938,391.2,61.0,9.2,51.8,0.1776061776061776
1,8,-4.25,0.0698875925147271,0.1363099761181068,391.2,51.0,8.4,42.6,0.1971830985915493
1,8,-4.0,0.0698875925147271,0.1448046944279659,391.2,39.6,7.4,32.2,0.22981366459627328
1,8,-3.75,0.0698875925147271,0.1401019437624823,391.2,39.0,7.0,32.0,0.21875
1,8,-3.5,0.0698875925147271,0.1292230378317334,391.2,29.2,5.0,24.2,0.2066115702479339
1,8,-3.25,0.0698875925147271,0.111737843551797,391.2,23.0,4.4,18.6,0.23655913978494625
1,8,-3.0,0.0698875925147271,0.087737843551797,391.2,18.0,3.8,14.2,0.2676056338028169
1,8,-2.75,0.0698875925147271,0.0854651162790697,391.2,17.2,3.6,13.6,0.2647058823529412
1,8,-2.5,0.0698875925147271,0.0854651162790697,391.2,17.2,3.6,13.6,0.2647058823529412
1,8,-2.25,0.0698875925147271,0.025,391.2,8.6,1.0,7.6,0.13157894736842105
1,9,-10.0,0.0657725656385829,0.0828758796956951,391.2,120.2,10.0,110.2,0.09074410163339383
1,9,-9.75,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-9.5,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-9.25,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-9.0,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-8.75,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-8.5,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-8.25,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-8.0,0.0652409945371288,0.1066200473869881,391.2,131.6,13.0,118.6,0.10961214165261383
1,9,-7.75,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-7.5,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-7.25,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-7.0,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-6.75,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-6.5,0.0652409945371288,0.1072730634356876,391.2,129.8,12.8,117.00000000000001,0.10940170940170939
1,9,-6.25,0.0652409945371288,0.1127491492108196,391.2,117.6,12.6,105.0,0.12
1,9,-6.0,0.0652409945371288,0.1129617821063794,391.2,116.2,12.4,103.8,0.11946050096339114
1,9,-5.75,0.0652409945371288,0.1134334457706279,391.2,113.4,12.4,101.0,0.12277227722772277
1,9,-5.5,0.0652409945371288,0.1134975483347305,391.2,108.2,11.6,96.60000000000001,0.12008281573498963
1,9,-5.25,0.0652409945371288,0.1342475483347304,391.2,105.8,11.6,94.2,0.12314225053078555
1,9,-5.0,0.0652409945371288,0.1378780785610053,391.2,93.4,11.2,82.2,0.1362530413625304
1,9,-4.75,0.0652409945371288,0.1378780785610053,391.2,93.4,11.2,82.2,0.1362530413625304
1,9,-4.5,0.0652409945371288,0.1426126553185376,391.2,89.2,11.0,78.2,0.14066496163682865
1,9,-4.25,0.0652409945371288,0.1431010558069381,391.2,69.0,9.4,59.6,0.15771812080536912
1,9,-4.0,0.0652409945371288,0.1632619047619047,391.2,44.4,7.6,36.8,0.20652173913043478
1,9,-3.75,0.0652409945371288,0.171111111111111,391.2,29.4,5.0,24.4,0.20491803278688525
1,9,-3.5,0.0652409945371288,0.1454715219421102,391.2,27.8,4.4,23.4,0.18803418803418806
1,9,-3.25,0.0652409945371288,0.1682709447415329,391.2,26.0,4.4,21.6,0.20370370370370372
1,9,-3.0,0.0652409945371288,0.1816042780748663,391.2,15.0,3.0,12.0,0.25
1,9,-2.75,0.0652409945371288,0.1733991498697381,391.2,14.2,2.6,11.6,0.22413793103448276
1,9,-2.5,0.0652409945371288,0.1733991498697381,391.2,14.2,2.6,11.6,0.22413793103448276
1,9,-2.25,0.0652409945371288,0.1263403263403263,391.2,10.8,1.8,9.0,0.2
1,10,-10.0,0.0006802721088435,0.0666666666666666,391.2,3.2,0.2,3.0,0.06666666666666667
1,10,-9.75,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-9.5,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-9.25,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-9.0,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-8.75,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-8.5,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-8.25,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-8.0,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-7.75,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-7.5,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-7.25,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-7.0,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-6.75,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-6.5,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-6.25,0.0369321272272515,0.4040802005012532,391.2,56.0,6.4,49.6,0.12903225806451613
1,10,-6.0,0.0369321272272515,0.4041148325358851,391.2,54.0,6.2,47.8,0.1297071129707113
1,10,-5.75,0.0369321272272515,0.4088111888111888,391.2,48.0,6.0,42.0,0.14285714285714285
1,10,-5.5,0.0369321272272515,0.4149767817484353,391.2,40.4,6.0,34.4,0.1744186046511628
1,10,-5.25,0.0369321272272515,0.4179997237187456,391.2,38.8,6.0,32.8,0.1829268292682927
1,10,-5.0,0.0369321272272515,0.4176743511671741,391.2,37.6,5.8,31.8,0.18238993710691823
1,10,-4.75,0.0369321272272515,0.4176743511671741,391.2,37.6,5.8,31.8,0.18238993710691823
1,10,-4.5,0.0369321272272515,0.4161898707353253,391.2,36.6,5.6,31.0,0.18064516129032257
1,10,-4.25,0.0369321272272515,0.4161898707353253,391.2,36.6,5.6,31.0,0.18064516129032257
1,10,-4.0,0.0369321272272515,0.4313632781717887,391.2,26.2,4.8,21.4,0.22429906542056074
1,10,-3.75,0.0369321272272515,0.4343262411347518,391.2,23.8,4.4,19.4,0.22680412371134023
1,10,-3.5,0.0369321272272515,0.4501449275362318,391.2,9.6,2.8,6.8,0.4117647058823529
1,10,-3.25,0.0369321272272515,0.4601449275362319,391.2,9.0,2.8,6.2,0.4516129032258064
1,10,-3.0,0.0369321272272515,0.4601449275362319,391.2,9.0,2.8,6.2,0.4516129032258064
1,10,-2.75,0.0369321272272515,0.4601449275362319,391.2,9.0,2.8,6.2,0.4516129032258064
1,10,-2.5,0.0369321272272515,0.4601449275362319,391.2,9.0,2.8,6.2,0.4516129032258064
1,10,-2.25,0.0369321272272515,0.4601449275362319,391.2,9.0,2.8,6.2,0.4516129032258064
1,11,-10.0,0.0013913351606549,0.2,391.2,3.2,0.6,2.6,0.23076923076923075
1,11,-9.75,0.0007017543859649,0.1333333333333333,391.2,3.2,0.4,2.8000000000000003,0.14285714285714285
1,11,-9.5,0.0007017543859649,0.1333333333333333,391.2,3.2,0.4,2.8000000000000003,0.14285714285714285
1,11,-9.25,0.0007017543859649,0.1333333333333333,391.2,3.2,0.4,2.8000000000000003,0.14285714285714285
1,11,-9.0,0.0007017543859649,0.1333333333333333,391.2,3.2,0.4,2.8000000000000003,0.14285714285714285
